priority,sample_id,analyst,date,raw_target,raw_action,raw_logic,draft_action,parser_action,draft_status,parser_status,draft_temporal,parser_temporal,arbiter_result,final_action,final_status,final_temporal,exclude_from_core_benchmark,review_note
P5_DRAFT_UNKNOWN_TEMPORAL,75,李梦尘,2026-08-14,有研硅,回补持有,五虎中只回了有研硅（回去的是最强的）,ADD,ADD,INTENDED,INTENDED,UNKNOWN,TODAY,BOTH_WRONG,ADD,EXECUTED,TODAY,,"双事件: ADD/EXECUTED/TODAY(logic'只回了有研硅'=完成态证据,缺口N) + HOLD/POSITION_STATE/CURRENT_STATE(持有); draft/parser 都标 INTENDED 错"
P5_DRAFT_UNKNOWN_TEMPORAL,76,老樊,2026-08-16,兖矿能源,突破买点结构后走出探路尖兵模型迹象，可小仓位博弈（上涨可能不连贯）,煤炭机构再平衡受益：动力煤量增+现货占比高弹性品种，煤化工业务提供业绩弹性，煤企中少有全球资源属性+高分红代表,UNKNOWN,BUY,CONDITIONAL,CONDITIONAL,UNKNOWN,CONDITIONAL,BOTH_WRONG,TRIAL,CONDITIONAL,CONDITIONAL,,"'突破买点结构后…可小仓位博弈'→TRIAL(小仓位博弈=试错,缺口M); '突破…后'前置条件→status/temporal=CONDITIONAL(用户精修); parser BUY/CONDITIONAL, draft UNKNOWN"
P5_DRAFT_UNKNOWN_TEMPORAL,77,震哥本尊,2026-08-28,康盛股份,择强打板,3进4梯队（液冷）,UNKNOWN,BUY,INTENDED,INTENDED,UNKNOWN,TODAY,PARSER_CORRECT,BUY,INTENDED,TODAY,,
P5_DRAFT_UNKNOWN_TEMPORAL,81,潘凤,2026-08-26,西部矿业,能板就加0.5,半路0.5仓位，有色铜,UNKNOWN,ADD,INTENDED,CONDITIONAL,UNKNOWN,CONDITIONAL,PARSER_CORRECT,ADD,CONDITIONAL,CONDITIONAL,,
P5_DRAFT_UNKNOWN_TEMPORAL,89,潘凤,2026-08-27,长飞光纤,半路0.5仓,英伟达链+光通信,BUY,BUY,INTENDED,INTENDED,UNKNOWN,TODAY,PARSER_CORRECT,BUY,INTENDED,TODAY,,
P5_DRAFT_UNKNOWN_TEMPORAL,96,妖股刺客,2026-08-28,康盛股份,明天能否超预期决定板块强度，不能强更强加速则后排落袋,液冷连板龙头,CLEAR,REDUCE,INTENDED,CONDITIONAL,UNKNOWN,FUTURE_PLAN,PARSER_CORRECT,REDUCE,CONDITIONAL,FUTURE_PLAN,,
P6_OTHER,15,老樊,2026-08-28,赛微电子,主题催化弹性大，仓位上控制，小作文难辨真伪,OCS主题催化+小作文：瑞典Silex(45.24%)为谷歌独家代工MEMS-OCS芯片，北京FAB3试产月产能1.5万片,WATCH,UNKNOWN,INTENDED,INTENDED,UNKNOWN,UNKNOWN,DRAFT_CORRECT,WATCH,INTENDED,TODAY,,姿态句'主题催化弹性大，仓位上控制'→WATCH(缺口K); parser UNKNOWN 过于保守; review: negative_watch/stance=CAUTION
P6_OTHER,31,清北游资,2026-08-17,华正新材,换板可以操作,加自选观察,WATCH,UNKNOWN,INTENDED,INTENDED,UNKNOWN,UNKNOWN,DRAFT_CORRECT,WATCH,INTENDED,TODAY,,姿态句'换板可以操作'+logic加自选观察→WATCH; parser UNKNOWN 过于保守
P6_OTHER,33,妖股刺客,2026-08-26,通鼎互联,回避，科技套牢盘太重,液冷整体走弱，都在杀跌,WATCH,UNKNOWN,INTENDED,INTENDED,UNKNOWN,UNKNOWN,DRAFT_CORRECT,WATCH,INTENDED,TODAY,,"'回避'=负向姿态→WATCH/INTENDED(枚举暂无AVOID,留stance扩展点,缺口P); review: stance=AVOID(negative_watch)"
P6_OTHER,35,潘凤,2026-08-27,剑桥科技,一字预期，相信,英伟达FY28指引+70%重构AI游戏规则，预期一字,WATCH,UNKNOWN,INTENDED,INTENDED,UNKNOWN,UNKNOWN,DRAFT_CORRECT,WATCH,INTENDED,TODAY,,姿态句'一字预期，相信'→WATCH(关注无交易动作); parser UNKNOWN 过于保守; review: stance=POSITIVE
P6_OTHER,80,清北游资,2026-08-17,共进股份,秒板不用动，连留断走；09:55换手够还不能回封可考虑出,周五锻炼学习票，高开大肉，09:34开盘秒板,UNKNOWN,UNKNOWN,CONDITIONAL,INTENDED,UNKNOWN,UNKNOWN,BOTH_WRONG,HOLD,POSITION_STATE,CURRENT_STATE,,"双事件(用户确认): HOLD/POSITION_STATE/CURRENT_STATE(condition=秒板不用动) + SELL/CONDITIONAL/CONDITIONAL(condition=断板/不能回封可考虑出); draft UNKNOWN/CONDITIONAL, parser UNKNOWN 都漏 HOLD"
